median,Q1,Q3,max,min,length,mean,coverage,evalue,inflation,type
0.022222222222222223,0.0018315018315018315,0.25,1.0,0.0001326259946949602,63204,0.2087259145979489,30,1e-120,1_2,all
0.022222222222222223,0.0018315018315018315,0.25,1.0,0.0001326259946949602,63112,0.20811166691631858,30,1e-120,1_2,no poly
0.9442724458204335,0.125,1.0,1.0,0.000925925925925926,92,0.630099824196353,30,1e-120,1_2,poly
0.023809523809523808,0.0018315018315018315,0.3333333333333333,1.0,0.000361271676300578,53924,0.2215951238027489,30,1e-120,1_2,dsDNA
0.003257328990228013,0.0001326259946949602,0.1,1.0,0.0001326259946949602,9280,0.13394582438678151,30,1e-120,1_2,no dsDNA
0.022222222222222223,0.0018315018315018315,0.25,1.0,0.0001326259946949602,63411,0.20916747814379494,30,1e-120,1_4,all
0.022222222222222223,0.0018315018315018315,0.25,1.0,0.0001326259946949602,63315,0.2085257070692381,30,1e-120,1_4,no poly
0.9442724458204335,0.125,1.0,1.0,0.000925925925925926,96,0.6324355571601182,30,1e-120,1_4,poly
0.02564102564102564,0.0018315018315018315,0.3333333333333333,1.0,0.000361271676300578,54095,0.22206593541788694,30,1e-120,1_4,dsDNA
0.003257328990228013,0.0001326259946949602,0.1,1.0,0.0001326259946949602,9316,0.13427030701433942,30,1e-120,1_4,no dsDNA
0.022222222222222223,0.0018315018315018315,0.25,1.0,0.0001326259946949602,63585,0.20915575941029432,30,1e-120,1_6,all
0.022222222222222223,0.0018315018315018315,0.25,1.0,0.0001326259946949602,63486,0.20851292673923583,30,1e-120,1_6,no poly
0.9411764705882353,0.125,1.0,1.0,0.000925925925925926,99,0.6213868195600125,30,1e-120,1_6,poly
0.02564102564102564,0.0018315018315018315,0.3333333333333333,1.0,0.000361271676300578,54236,0.22198825922875656,30,1e-120,1_6,dsDNA
0.003663003663003663,0.0001326259946949602,0.1,1.0,0.0001326259946949602,9349,0.13471106370443134,30,1e-120,1_6,no dsDNA
0.014285714285714285,0.0018315018315018315,0.2727272727272727,1.0,0.0001326259946949602,90347,0.21073050176949806,30,1e-60,1_2,all
0.014285714285714285,0.0018315018315018315,0.26666666666666666,1.0,0.0001326259946949602,90275,0.2103418916990169,30,1e-60,1_2,no poly
0.9829505091167416,0.314010989010989,1.0,1.0,0.000925925925925926,72,0.6979773644456755,30,1e-60,1_2,poly
0.019417475728155338,0.0018315018315018315,0.3333333333333333,1.0,0.000361271676300578,79864,0.22032969022597504,30,1e-60,1_2,dsDNA
0.0027472527472527475,0.0001326259946949602,0.09090909090909091,1.0,0.0001326259946949602,10483,0.1375997580045378,30,1e-60,1_2,no dsDNA
0.022222222222222223,0.0018315018315018315,0.25,1.0,0.0001326259946949602,63723,0.20916328377587742,30,1e-120,1_8,all
0.022222222222222223,0.0018315018315018315,0.25,1.0,0.0001326259946949602,63619,0.20852173222412346,30,1e-120,1_8,no poly
0.8,0.1111111111111111,1.0,1.0,0.000925925925925926,104,0.601613939266625,30,1e-120,1_8,poly
0.02564102564102564,0.0018315018315018315,0.3333333333333333,1.0,0.000361271676300578,54345,0.22200589636581558,30,1e-120,1_8,dsDNA
0.003663003663003663,0.0001326259946949602,0.1,1.0,0.0001326259946949602,9378,0.13474104223181754,30,1e-120,1_8,no dsDNA
0.014285714285714285,0.0018315018315018315,0.25,1.0,0.0001326259946949602,100434,0.21000134383509245,30,1e-40,1_2,all
0.014285714285714285,0.0018315018315018315,0.25,1.0,0.0001326259946949602,100369,0.20968703574632983,30,1e-40,1_2,no poly
0.9902912621359223,0.28,1.0,1.0,0.000925925925925926,65,0.6953365524659965,30,1e-40,1_2,poly
0.014285714285714285,0.0018315018315018315,0.3333333333333333,1.0,0.000361271676300578,89860,0.2175572475493839,30,1e-40,1_2,dsDNA
0.002777777777777778,0.0001326259946949602,0.1,1.0,0.0001326259946949602,10574,0.14578973916644927,30,1e-40,1_2,no dsDNA
0.022222222222222223,0.0018315018315018315,0.25,1.0,0.0001326259946949602,63817,0.20912580762145996,30,1e-120,2,all
0.022222222222222223,0.0018315018315018315,0.25,1.0,0.0001326259946949602,63711,0.20847644628634046,30,1e-120,2,no poly
0.8,0.1111111111111111,1.0,1.0,0.000925925925925926,106,0.5994226002799523,30,1e-120,2,poly
0.02564102564102564,0.0018315018315018315,0.3333333333333333,1.0,0.000361271676300578,54423,0.22196268439740235,30,1e-120,2,dsDNA
0.003663003663003663,0.0001326259946949602,0.1,1.0,0.0001326259946949602,9394,0.1347569184606007,30,1e-120,2,no dsDNA
0.014285714285714285,0.0018315018315018315,0.3333333333333333,1.0,0.0001326259946949602,92205,0.21778870400202432,30,1e-20,1_2,all
0.014285714285714285,0.0018315018315018315,0.3333333333333333,1.0,0.0001326259946949602,92147,0.21747041266653067,30,1e-20,1_2,no poly
0.9924718342765173,0.4864457831325301,1.0,1.0,0.0022471910112359553,58,0.7234713193768417,30,1e-20,1_2,poly
0.014285714285714285,0.0018315018315018315,0.3333333333333333,1.0,0.000361271676300578,82555,0.2247275739364419,30,1e-20,1_2,dsDNA
0.0036900369003690036,0.0001326259946949602,0.1111111111111111,1.0,0.0001326259946949602,9650,0.15842721100349197,30,1e-20,1_2,no dsDNA
0.014285714285714285,0.0018315018315018315,0.3333333333333333,1.0,0.0001326259946949602,70779,0.22972977625732885,30,1e-05,1_2,all
0.014285714285714285,0.0018315018315018315,0.3333333333333333,1.0,0.0001326259946949602,70722,0.22935975288330449,30,1e-05,1_2,no poly
0.9877049180327869,0.2,1.0,1.0,0.0022471910112359553,57,0.6888314088494171,30,1e-05,1_2,poly
