nb_cluster	nb_cluster_with_poly	nb_clustered_taxid_with_poly	nb_expected_taxid	complement_clustered_taxid_with_poly	complement_expected_taxid	expected_and_clustered_intersection	Evalue	coverage	inflation	precision	sensitivity	F1_score
85566	99	1593	1217	817	255	776	1e-05	50	3	0.4199134199134199	0.7526673132880698	0.5390760680791942
56846	99	1049	1217	290	272	759	1e-140	40	1_2	0.5745647236941711	0.7361784675072744	0.6454081632653061
74615	145	985	1217	247	293	738	1e-100	70	5	0.5774647887323944	0.7158098933074685	0.6392377652663491
106785	114	1257	1217	482	256	775	1e-40	50	5	0.5122273628552545	0.7516973811833172	0.6092767295597484
94057	115	1304	1217	516	243	788	1e-60	60	2	0.5093729799612152	0.7643064985451018	0.6113266097750194
56981	107	1049	1217	290	272	759	1e-140	40	1_4	0.5745647236941711	0.7361784675072744	0.6454081632653061
75105	154	969	1217	238	300	731	1e-100	70	8	0.5760441292356187	0.7090203685741998	0.6356521739130435
88129	110	1532	1217	758	257	774	1e-05	50	5	0.4326439351593069	0.7507274490785645	0.5489361702127659
100730	100	1570	1217	794	255	776	1e-20	50	3	0.4252054794520548	0.7526673132880698	0.5434173669467788
57116	110	990	1217	237	278	753	1e-140	40	1_6	0.5938485804416404	0.7303588748787585	0.6550674206176599
108063	121	1243	1217	474	262	769	1e-40	50	8	0.5109634551495017	0.7458777885548011	0.6064668769716088
94669	119	1241	1217	466	256	775	1e-60	60	3	0.5177020708082832	0.7516973811833172	0.613132911392405
57204	113	989	1217	236	278	753	1e-140	40	1_8	0.5943172849250198	0.7303588748787585	0.6553524804177545
74282	153	992	1217	251	290	741	1e-100	80	1_2	0.578003120124805	0.7187196896217265	0.6407263294422828
90032	118	1502	1217	731	260	771	1e-05	50	8	0.4375709421112372	0.7478176527643065	0.5520945220193341
57276	113	970	1217	217	278	753	1e-140	40	2	0.6033653846153846	0.7303588748787585	0.6608161474330846
102779	110	1512	1217	738	257	774	1e-20	50	5	0.4375353306953081	0.7507274490785645	0.5528571428571429
95624	130	1197	1217	453	287	744	1e-60	60	5	0.5013477088948787	0.7216294859359845	0.5916500994035786
57516	122	948	1217	211	294	737	1e-140	40	3	0.5933977455716586	0.7148399612027158	0.6484821821381435
74554	158	954	1217	216	293	738	1e-100	80	1_4	0.5918203688853247	0.7158098933074685	0.6479367866549605
57974	139	926	1217	206	311	720	1e-140	40	5	0.582053354890865	0.6983511154219205	0.634920634920635
96608	138	1177	1217	447	301	730	1e-60	60	8	0.4939106901217862	0.7080504364694471	0.5819051414906337
104445	119	1492	1217	721	260	771	1e-20	50	8	0.4400684931506849	0.7478176527643065	0.5540783327344592
58292	149	913	1217	203	321	710	1e-140	40	8	0.5753646677471637	0.6886517943743938	0.6269315673289183
74741	161	952	1217	214	293	738	1e-100	80	1_6	0.5927710843373494	0.7158098933074685	0.648506151142355
103902	98	1958	1217	1103	176	855	1e-40	60	1_2	0.4006560449859419	0.8292919495635306	0.5402843601895735
74878	161	949	1217	213	295	736	1e-100	80	1_8	0.5916398713826366	0.7138700290979632	0.6470329670329671
57109	120	1048	1217	290	273	758	1e-140	50	1_2	0.5738077214231643	0.7352085354025218	0.6445578231292516
80348	92	2158	1217	1299	172	859	1e-05	60	1_2	0.3686695278969957	0.8331716779825412	0.5111573936328474
57243	125	1007	1217	249	273	758	1e-140	50	1_4	0.5921875	0.7352085354025218	0.6559930765902207
74992	165	944	1217	211	298	733	1e-100	80	2	0.5901771336553945	0.7109602327837051	0.6449626044874615
57382	127	988	1217	236	279	752	1e-140	50	1_6	0.5935280189423836	0.7293889427740058	0.6544821583986075
94219	121	1387	1217	580	224	807	1e-60	70	1_2	0.5009310986964618	0.7827352085354026	0.6109008327024981
104739	105	1493	1217	652	190	841	1e-40	60	1_4	0.49970291146761736	0.8157129000969933	0.6197494473102432
75310	168	944	1217	211	298	733	1e-100	80	3	0.5901771336553945	0.7109602327837051	0.6449626044874615
57461	128	987	1217	235	279	752	1e-140	50	1_8	0.593996840442338	0.7293889427740058	0.6547670875054419
75895	177	940	1217	210	301	730	1e-100	80	5	0.5882352941176471	0.7080504364694471	0.6426056338028169
97863	93	2103	1217	1247	175	856	1e-20	60	1_2	0.37576821773485514	0.8302618816682832	0.5173768510123904
57526	129	967	1217	216	280	751	1e-140	50	2	0.6022453889334403	0.7284190106692532	0.659350307287094
82988	101	2028	1217	1179	182	849	1e-05	60	1_4	0.38416289592760183	0.8234723569350145	0.5239123727244678
94740	128	1301	1217	527	257	774	1e-60	70	1_4	0.496790757381258	0.7507274490785645	0.5979142526071842
57752	131	946	1217	211	296	735	1e-140	50	3	0.5917874396135265	0.7129000969932104	0.6467223933128025
76434	189	919	1217	209	321	710	1e-100	80	8	0.5725806451612904	0.6886517943743938	0.6252752091589608
105276	108	1348	1217	558	241	790	1e-40	60	1_6	0.4971680302076778	0.7662463627546072	0.6030534351145038
58165	141	926	1217	206	311	720	1e-140	50	5	0.582053354890865	0.6983511154219205	0.634920634920635
58468	146	923	1217	205	313	718	1e-140	50	8	0.580906148867314	0.6964112512124151	0.6334362593736216
95096	129	1259	1217	491	263	768	1e-60	70	1_6	0.5045992115637319	0.7449078564500485	0.6016451233842538
99252	102	1885	1217	1036	182	849	1e-20	60	1_4	0.4107402031930334	0.8234723569350145	0.5480955455132344
84505	105	1815	1217	1003	219	812	1e-05	60	1_6	0.3992133726647001	0.7875848690591658	0.5298531810766721
105619	109	1342	1217	554	243	788	1e-40	60	1_8	0.4971608832807571	0.7643064985451018	0.6024464831804281
57521	128	1003	1217	249	277	754	1e-140	60	1_2	0.5890625	0.7313288069835111	0.6525313717005625
95334	130	1244	1217	476	263	768	1e-60	70	1_8	0.5096217650962177	0.7449078564500485	0.6052009456264776
57641	134	990	1217	236	277	754	1e-140	60	1_4	0.5951065509076559	0.7313288069835111	0.6562228024369016
85653	106	1681	1217	874	224	807	1e-05	60	1_8	0.42362204724409447	0.7827352085354026	0.5497275204359673
100086	105	1615	1217	820	236	795	1e-20	60	1_6	0.42949756888168555	0.7710960232783706	0.5517002081887578
57775	136	995	1217	247	283	748	1e-140	60	1_6	0.5852895148669797	0.7255092143549952	0.6478995236032914
105885	112	1340	1217	554	245	786	1e-40	60	2	0.49589905362776027	0.7623666343355965	0.6009174311926606
95511	132	1194	1217	443	280	751	1e-60	70	2	0.5094979647218453	0.7284190106692532	0.5996007984031936
57846	136	981	1217	233	283	748	1e-140	60	1_8	0.5917721518987342	0.7255092143549952	0.6518518518518518
86551	108	1678	1217	873	226	805	1e-05	60	2	0.4227941176470588	0.7807953443258971	0.5485519591141397
57906	137	962	1217	214	283	748	1e-140	60	2	0.6008032128514056	0.7255092143549952	0.6572934973637962
106878	116	1306	1217	531	256	775	1e-40	60	3	0.49615877080665816	0.7516973811833172	0.5977632086386425
100738	106	1606	1217	813	238	793	1e-20	60	1_8	0.4300433839479393	0.7691561590688651	0.5516521739130434
96116	134	1188	1217	437	280	751	1e-60	70	3	0.5115803814713896	0.7284190106692532	0.6010404161664666
58126	139	933	1217	204	302	729	1e-140	60	3	0.5902834008097166	0.7070805043646945	0.64342453662842
58526	148	914	1217	199	316	715	1e-140	60	5	0.5813008130081301	0.6935014548981572	0.6324635117204778
